acc,name
SRR10591228,amplicon_rhizosphere_echinocactus_platyacanthus_wild3_1
SRR10591226,amplicon_rhizosphere_neobuxbaumia_polylopha_cultivated1_1
SRR10591227,amplicon_rhizosphere_echinocactus_platyacanthus_wild3_2
SRR10591224,amplicon_rhizosphere_neobuxbaumia_polylopha_cultivated1_2
SRR10591225,amplicon_rhizosphere_neobuxbaumia_polylopha_cultivated2
SRR10591233,amplicon_rhizosphere_echinocactus_platyacanthus_cultivated2
SRR10591234,amplicon_rhizosphere_echinocactus_platyacanthus_cultivated1
SRR10591223,amplicon_rhizosphere_neobuxbaumia_polylopha_wild1
SRR10591231,amplicon_rhizosphere_neobuxbaumia_polylopha_wild3
SRR10591232,amplicon_rhizosphere_neobuxbaumia_polylopha_wild2
SRR10591229,amplicon_rhizosphere_echinocactus_platyacanthus_wild3_3
SRR10591230,amplicon_rhizosphere_echinocactus_platyacanthus_cultivated3
SRR11092501,shotgun_rhizosphere_poaceae_dgo1
SRR11092499,shotgun_rhizosphere_solanum_lycopersicum_jal5
SRR11092511,shotgun_rhizosphere_poaceae_ags1
SRR11092508,shotgun_rhizosphere_poaceae_sin2
SRR11092498,shotgun_rhizosphere_asteraceae_jal5
SRR11092509,shotgun_rhizosphere_solanum_lycopersicum_sin2
SRR11092506,shotgun_rhizosphere_solanum_lycopersicum_slp1
SRR11092496,shotgun_rhizosphere_fagales_nay2
SRR11092505,shotgun_rhizosphere_poaceae_slp1
SRR11092502,shotgun_rhizosphere_solanum_lycopersicum_dgo1
SRR11092512,shotgun_rhizosphere_solanum_lycopersicum_ags1
SRR4142430,shotgun_phylosphere_agave_salmiana_magueyal
SRR4142433,shotgun_phylosphere_agave_tequilana_penjamo
SRR4140276,shotgun_rhizosphere_agave_salmiana_sanfelipe
SRR4140275,shotgun_rhizosphere_agave_salmiana_magueyal
SRR4140278,shotgun_rhizosphere_agave_tequilana_amatitan
SRR4140277,shotgun_rhizosphere_agave_tequilana_penjamo
SRR4141180,shotgun_rhizosphere_myrtillocactus_geometrizans_magueyal
SRR4142459,shotgun_phylosphere_opuntia_robusta_sanfelipe
SRR4142283,shotgun_rhizosphere_opuntia_robusta_sanfelipe
SRR4142282,shotgun_phylosphere_agave_salmiana_sanfelipe
SRR4142418,shotgun_rhizosphere_myrtillocactus_geometrizans_sanfelipe
SRR4142417,shotgun_rhizosphere_opuntia_robusta_magueyal
SRR4142460,shotgun_phylosphere_myrtillocactus_geometrizans_magueyal
SRR10127271,shotgun_phylosphere_myrtillocactus_geometrizans_sanfelipe
SRR10127267,shotgun_phylosphere_agave_tequilana_amatitan
SRR5166355,shotgun_phylosphere_opuntia_robusta_magueyal
SRR5240887,amplicon_rhizosphere_dioon_merolae_72hrs
SRR5240836,amplicon_rhizosphere_dioon_merolae_1month_1
SRR5240884,amplicon_rhizosphere_dioon_merolae_1month_2
SRR5240886,amplicon_rhizosphere_dioon_merolae_1month_3
SRR5240833,amplicon_rhizosphere_dioon_merolae_1month_4
SRR5240888,amplicon_rhizosphere_dioon_merolae_1month_5
SRR5240837,amplicon_rhizosphere_dioon_merolae_1year_1
SRR5240885,amplicon_rhizosphere_dioon_merolae_1year_2
SRR5829603,unknown_phylosphere_phaseolus_vulgaris_white_nodule
SRR5829600,unknown_phylosphere_macroptilium_atropurpureum_mix_nodule
SRR5829609,unknown_phylosphere_phaseolus_vulgaris_pink_nodule
