Source,Target,Correlation,Dissimilarity
0,1,0.9642857142857145,0.023376038628413538
0,37,0.8571428571428573,0.2974381253677506
0,60,0.8214285714285715,0.25643085563937507
0,91,0.7857142857142859,0.16858272177921207
0,1836,0.9285714285714288,0.1273182451707535
0,1854,0.7857142857142859,0.18171129673224434
0,1860,0.8214285714285715,0.14846187849106046
0,1870,0.8214285714285715,0.2868640730162329
0,1945,0.9285714285714288,0.20319837015982772
0,1946,0.8571428571428573,0.18299638674417557
1,37,0.8928571428571429,0.28559594309144803
1,60,0.7857142857142859,0.2662012579828432
1,91,0.8928571428571429,0.15451711900264783
1,117,0.7857142857142859,0.21580524867982942
1,1836,0.8571428571428573,0.11431224224635587
1,1860,0.8928571428571429,0.13644338654740779
1,1870,0.8571428571428573,0.29869670146260097
1,1945,0.8571428571428573,0.1891917634971977
1,1946,0.8214285714285715,0.16912151575541756
2,3,0.8571428571428573,0.10535828897145033
2,505,0.8214285714285715,0.2821487475520213
2,1947,0.8214285714285715,0.2884388494265946
2,2609,0.8928571428571429,0.24261446915361573
3,108,0.9642857142857145,0.1892998234016594
3,124,0.8571428571428573,0.22349390367536973
3,232,-0.7857142857142859,0.2790814357947048
3,505,0.8571428571428573,0.19104004768942004
3,896,-0.8214285714285715,0.24679393419895143
3,920,-0.8928571428571429,0.23275565442220772
3,1809,0.8571428571428573,0.09221614399701422
3,1926,0.8214285714285715,0.2088664714498803
4,5,0.9285714285714288,0.12673426989490488
4,6,0.9642857142857145,0.08537131868347375
4,8,0.8571428571428573,0.17330855423034053
4,9,0.8571428571428573,0.21718326787227107
4,11,0.8928571428571429,0.2847370467197421
4,14,0.8214285714285715,0.28009138179236326
4,16,0.8571428571428573,0.2987065184330002
4,26,0.8214285714285715,0.25754702272494856
4,27,0.8571428571428573,0.13075966495938368
4,29,0.9642857142857145,0.25161331848927704
4,505,0.7857142857142859,0.2817353743303555
4,744,-0.8571428571428573,0.2946802334441313
4,1813,0.8571428571428573,0.12620881784431562
4,1850,0.7857142857142859,0.2572145551397567
