Id,Label,taxonName
0,190148,Bradyrhizobium paxllaeri
1,1274631,Bradyrhizobium icense
2,1437360,Bradyrhizobium erythrophlei
3,1355477,Bradyrhizobium diazoefficiens
4,722472,Bradyrhizobium lablabi
5,255045,Bradyrhizobium canariense
6,83637,Bradyrhizobium genosp. L
7,44255,Bradyrhizobium oligotrophicum
8,375,Bradyrhizobium japonicum
9,1404367,Bradyrhizobium symbiodeficiens
10,1325090,Bradyrhizobium guangdongense
11,1404864,Bradyrhizobium cosmicum
12,1549949,Bradyrhizobium vignae
13,1325107,Bradyrhizobium zhanjiangense
14,858423,Bradyrhizobium arachidis
15,1325115,Bradyrhizobium guangxiense
16,83627,Bradyrhizobium genosp. B
17,1325095,Bradyrhizobium guangzhouense
18,1404768,Bradyrhizobium amphicarpaeae
19,244734,Bradyrhizobium betae
20,931866,Bradyrhizobium ottawaense
21,29448,Bradyrhizobium elkanii
22,2653178,unclassified Bosea
23,1526658,Bosea vaviloviae
24,1076,Rhodopseudomonas palustris
25,912,Nitrobacter hamburgensis
26,913,Nitrobacter winogradskyi
27,2631404,unclassified Tardiphaga
28,943830,Tardiphaga robiniae
29,2642050,unclassified Afipia
30,40137,Afipia carboxidovorans
31,1333996,Variibacter gotjawalensis
32,379,Rhizobium
33,357,Agrobacterium
34,1525371,Neorhizobium
35,1903858,Pseudorhizobium
36,28105,Sinorhizobium
37,106591,Ensifer
38,2643062,unclassified Shinella
39,2649303,unclassified Kaistia
40,2341112,Georhizobium profundi
41,1969821,Ciceribacter thiooxidans
42,556287,Candidatus Liberibacter solanacearum
43,309868,Candidatus Liberibacter americanus
44,1273132,Liberibacter crescens
45,34021,Candidatus Liberibacter asiaticus
46,34020,Candidatus Liberibacter africanus
47,325217,unclassified Mesorhizobium
48,1670800,Mesorhizobium oceanicum
49,71433,Mesorhizobium amorphae
50,381,Mesorhizobium loti
51,593909,Mesorhizobium opportunistum
52,536018,Mesorhizobium australicum
53,39645,Mesorhizobium ciceri
54,1777866,Mesorhizobium erdmanii
55,2066070,Mesorhizobium japonicum
56,28104,Mesorhizobium huakuii
57,2725666,Mesorhizobium terrae
58,2644704,unclassified Aminobacter
59,83263,Aminobacter aminovorans
60,2641084,unclassified Nitratireductor
61,2643807,unclassified Chelativorans
62,2614931,unclassified Hoeflea
63,244596,Hoeflea phototrophica
64,1867719,Phyllobacterium zundukense
65,2638441,unclassified Phyllobacterium
66,1852022,Roseitalea porphyridii
67,2742145,Oricola thermophila
68,2712698,Salaquimonas pukyongi
69,2647570,unclassified Lentilitoribacter
70,196773,unclassified Devosia
71,400770,Devosia ginsengisoli
72,2619116,unclassified Rhodoplanes
73,444923,Rhodoplanes piscinae
74,53399,Hyphomicrobium denitrificans
75,1427356,Hyphomicrobium nitrativorans
76,2619925,unclassified Hyphomicrobium
77,2233851,Blastochloris tepida
78,1079,Blastochloris viridis
79,1447062,Youhaiella tibetensis
80,1384459,Methyloceanibacter caenitepidi
81,2617503,unclassified Methyloceanibacter
82,531813,Pelagibacterium halotolerans
83,2663263,unclassified Aquabacter
84,2625955,unclassified Methyloligella
85,1069,Rhodomicrobium vannielii
86,1335043,Paradevosia shaoguanensis
87,169176,Caenibius tardaugens
88,1608628,Candidatus Filomicrobium marinum
89,454601,Maritalea myrionectae
90,2617746,unclassified Microvirga
91,1882682,Microvirga ossetica
92,2651334,Microvirga thermotolerans
93,2615210,unclassified Methylobacterium
94,114616,Methylobacterium nodulans
95,270351,Methylobacterium aquaticum
96,2202825,Methylobacterium durans
97,39956,Methylobacterium mesophilicum
98,269660,Methylobacterium brachiatum
99,2202827,Methylobacterium terrae
100,2051553,Methylobacterium currus
101,1775910,Methylobacterium indicum
102,31998,Methylobacterium radiotolerans
103,418223,Methylobacterium phyllosphaerae
104,334852,Methylobacterium oryzae
105,408,Methylorubrum extorquens
106,223967,Methylorubrum populi
107,29429,Methylorubrum zatmanii
108,331696,Pseudolabrys taiwanensis
109,2638514,unclassified Pseudolabrys
110,2615126,unclassified Starkeya
111,921,Starkeya novella
112,2626613,unclassified Ancylobacter
113,1745854,Ancylobacter pratisalsi
114,2623496,unclassified Xanthobacter
115,2688601,unclassified Labrys (in: Bacteria)
116,7,Azorhizobium caulinodans
117,2615206,unclassified Aureimonas
118,1701758,Aureimonas populi
119,401562,Aureimonas ureilytica
120,2629616,unclassified Martelella
121,1486262,Martelella endophytica
122,293089,Martelella mediterranea
123,2583532,Martelella lutilitoris
124,1235591,Pseudorhodoplanes sinuspersici
125,2623691,unclassified Nordella
126,1482074,Hartmannibacter diazotrophicus
127,573658,Candidatus Hodgkinia cicadicola
128,538381,Stappia indica
129,2629676,unclassified Stappia
130,2648686,unclassified Labrenzia
131,388408,Labrenzia alexandrii
132,187304,Labrenzia aggregata
133,121719,Pannonibacter phragmitetus
134,2627060,unclassified Pseudovibrio
135,173366,Methylocystis rosea
136,134,Methylocystis parvus
137,655015,Methylocystis bryophila
138,391905,Methylocystis heyeri
139,2625913,unclassified Methylocystis
140,426,Methylosinus trichosporium
141,2624500,unclassified Methylosinus
142,234,Brucella
143,528,Ochrobactrum
144,2638111,unclassified Chelatococcus
145,444444,Chelatococcus daeguensis
146,199596,Methylocella silvestris
147,227605,Methylocella tundrae
148,569860,Methylovirgula ligni
149,533,Beijerinckia indica
150,256618,Parvibaculum lavamentivorans
151,1712261,Pyruvatibacter mobilis
152,1458461,Candidatus Phaeomarinobacter ectocarpi
153,2624130,unclassified Breoghania
154,2631913,unclassified Cohaesibacter
155,2528642,Lichenihabitans psoromatis
156,1686310,Bartonella apis
157,2645622,unclassified Bartonella
158,33047,Bartonella vinsonii
159,803,Bartonella quintana
160,2267275,Bartonella krasnovii
161,388640,Bartonella australis
162,33045,Bartonella grahamii
163,56426,Bartonella clarridgeiae
164,1318743,Bartonella ancashensis
165,155194,Bartonella bovis
166,38323,Bartonella henselae
167,111504,Bartonella birtlesii
168,52764,Bartonella alsatica
169,807,Bartonella elizabethae
170,774,Bartonella bacilliformis
171,2133959,Bartonella kosoyi
172,165694,Bartonella schoenbuchensis
173,196159,unclassified Sphingomonas
174,386874,Sphingomonas sediminicola
175,1176646,Sphingomonas daechungensis
176,1045317,Sphingomonas lutea
177,363835,Sphingomonas ginsengisoli An et al. 2013
178,2071607,Sphingomonas rhizophila
179,2594473,Sphingomonas xanthus
180,653931,Sphingomonas alpina
181,397260,Sphingomonas sanxanigenens
182,93064,Sphingomonas koreensis
183,160791,Sphingomonas wittichii
184,1609977,Sphingomonas hengshuiensis
185,1549858,Sphingomonas taxi
186,1813879,Sphingomonas panacisoli
187,1560345,Sphingomonas panacis
188,424800,Sphingomonas insulae
189,13689,Sphingomonas paucimobilis
190,152682,Sphingomonas melonis
191,2698828,Sphingomonas lacunae
192,2614943,unclassified Sphingopyxis
193,33050,Sphingopyxis macrogoltabida
194,1515612,Sphingopyxis fribergensis
195,2054227,Sphingopyxis lindanitolerans
196,33052,Sphingopyxis terrae
197,117207,Sphingopyxis alaskensis
198,267128,Sphingopyxis granuli
199,2611147,unclassified Sphingobium
200,13690,Sphingobium yanoikuyae
201,135719,Sphingobium amiense
202,120107,Sphingobium cloacae
203,1673076,Sphingobium hydrophobicum
204,332056,Sphingobium japonicum
205,46429,Sphingobium chlorophenolicum
206,1332080,Sphingobium baderi
207,76947,Sphingobium herbicidovorans
208,1054037,Sphingobium barthaii
209,336203,Sphingobium fuliginis
210,332055,Sphingobium indicum
