Id,Label,taxonName
0,2063,Kitasatospora
1,228398,Streptacidiphilus
2,1663,Arthrobacter
3,1742993,Pseudarthrobacter
4,57493,Kocuria
5,596707,Sinomonas
6,1269,Micrococcus
7,1742989,Glutamicibacter
8,169133,Citricoccus
9,1742992,Paenarthrobacter
10,32207,Rothia
11,57494,Nesterenkonia
12,370735,Zhihengliuella
13,2078575,Psychromicrobium
14,1868332,Neomicrococcus
15,1160973,Auritidibacter
16,1645,Renibacterium
17,33882,Microbacterium
18,33877,Agromyces
19,33886,Rathayibacter
20,2034,Curtobacterium
21,110932,Leifsonia
22,46352,Agrococcus
23,1573,Clavibacter
24,235888,Salinibacterium
25,55968,Leucobacter
26,2680004,Protaetiibacter
27,69578,Cryobacterium
28,447237,Frondihabitans
29,518733,Microterricola
30,190323,Plantibacter
31,427753,Humibacter
32,881616,Herbiconiux
33,96492,Frigoribacterium
34,1331730,Chryseoglobus
35,1195526,Gryllotalpicola
36,1434018,Lysinimonas
37,1230698,Marisediminicola
38,76634,Mycetocola
39,1433997,Diaminobutyricimonas
40,337004,Microcella
41,110934,Agreia
42,1649454,Glaciihabitans
43,1759331,Cnuibacter
44,1655488,Luna cluster
45,1705353,Aurantimicrobium
46,1434032,Pontimonas
47,1707,Cellulomonas
48,458839,Actinotalea
49,162491,Oerskovia
50,1926259,Pseudactinotalea
51,665568,Paraoerskovia
52,53457,Janibacter
53,367298,Phycicoccus
54,2805645,Pedococcus
55,53357,Intrasporangium
56,99479,Tetrasphaera
57,267408,Arsenicicoccus
58,157920,Cellulosimicrobium
59,254250,Isoptericola
60,186188,Xylanimonas
61,289244,Xylanimicrobium
62,125287,Ornithinimicrobium
63,265976,Serinicoccus
64,1696,Brevibacterium
65,43668,Brachybacterium
66,36739,Dermabacter
67,472568,Devriesea
68,154116,Georgenia
69,57495,Dermacoccus
70,745364,Luteipulveratus
71,908935,Yimella
72,626119,Ruania
73,84756,Beutenbergia
74,947525,Miniimonas
75,60919,Sanguibacter
76,754249,Luteimicrobium
77,984996,Mobilicoccus
78,1184606,Austwickia
79,1862,Dermatophilus
80,57499,Kytococcus
