Id,Label,taxonName
0,1274631,Bradyrhizobium icense
1,1437360,Bradyrhizobium erythrophlei
2,190148,Bradyrhizobium paxllaeri
3,1355477,Bradyrhizobium diazoefficiens
4,722472,Bradyrhizobium lablabi
5,83637,Bradyrhizobium genosp. L
6,44255,Bradyrhizobium oligotrophicum
7,255045,Bradyrhizobium canariense
8,375,Bradyrhizobium japonicum
9,1325107,Bradyrhizobium zhanjiangense
10,1549949,Bradyrhizobium vignae
11,1404367,Bradyrhizobium symbiodeficiens
12,1404864,Bradyrhizobium cosmicum
13,858423,Bradyrhizobium arachidis
14,1325090,Bradyrhizobium guangdongense
15,83627,Bradyrhizobium genosp. B
16,1325115,Bradyrhizobium guangxiense
17,1325095,Bradyrhizobium guangzhouense
18,1404768,Bradyrhizobium amphicarpaeae
19,244734,Bradyrhizobium betae
20,931866,Bradyrhizobium ottawaense
21,29448,Bradyrhizobium elkanii
22,2653178,unclassified Bosea
23,1526658,Bosea vaviloviae
24,1076,Rhodopseudomonas palustris
25,2631404,unclassified Tardiphaga
26,943830,Tardiphaga robiniae
27,2642050,unclassified Afipia
28,40137,Afipia carboxidovorans
29,1333996,Variibacter gotjawalensis
30,912,Nitrobacter hamburgensis
31,913,Nitrobacter winogradskyi
32,325217,unclassified Mesorhizobium
33,1670800,Mesorhizobium oceanicum
34,71433,Mesorhizobium amorphae
35,381,Mesorhizobium loti
36,39645,Mesorhizobium ciceri
37,536018,Mesorhizobium australicum
38,593909,Mesorhizobium opportunistum
39,1777866,Mesorhizobium erdmanii
40,28104,Mesorhizobium huakuii
41,2066070,Mesorhizobium japonicum
42,2725666,Mesorhizobium terrae
43,2644704,unclassified Aminobacter
44,83263,Aminobacter aminovorans
45,2643807,unclassified Chelativorans
46,2641084,unclassified Nitratireductor
47,1852022,Roseitalea porphyridii
48,2614931,unclassified Hoeflea
49,244596,Hoeflea phototrophica
50,2742145,Oricola thermophila
51,1867719,Phyllobacterium zundukense
52,2638441,unclassified Phyllobacterium
53,2712698,Salaquimonas pukyongi
54,2647570,unclassified Lentilitoribacter
55,379,Rhizobium
56,357,Agrobacterium
57,1525371,Neorhizobium
58,1903858,Pseudorhizobium
59,28105,Sinorhizobium
60,106591,Ensifer
